osmid,oneway,highway,reversed,length,name,geometry,lanes,junction,ref
88302986,False,residential,True,59.44,Rua João Guimarães,"LINESTRING (-42.7237813 -10.8249052, -42.7242616 -10.8246538)",,,
707558146,False,residential,False,164.491,Rua Professora Honezinda Teixeira,"LINESTRING (-42.7237813 -10.8249052, -42.7246838 -10.8260895)",,,
707558146,False,residential,True,79.895,Rua Professora Honezinda Teixeira,"LINESTRING (-42.7237813 -10.8249052, -42.7233954 -10.8242948)",,,
248762335,False,residential,False,19.266,Rua Coronel José Nogueira,"LINESTRING (-42.7269412 -10.8246797, -42.7270903 -10.8245871)",,,
248762335,False,residential,True,77.333,Rua Coronel José Nogueira,"LINESTRING (-42.7269412 -10.8246797, -42.7263454 -10.8250555)",,,
543218352,False,residential,False,60.412,Rua Expedicionário Pompeu Ribeiro dos Santos,"LINESTRING (-42.7269412 -10.8246797, -42.7272661 -10.8251194)",,,
543218352,False,residential,True,155.185,Rua Expedicionário Pompeu Ribeiro dos Santos,"LINESTRING (-42.7269412 -10.8246797, -42.72607 -10.8235772)",,,
88303014,False,residential,False,58.615,Rua Maranhão,"LINESTRING (-42.7306569 -10.818698, -42.7311058 -10.8184091)",,,
88303014,False,residential,True,78.075,Rua Maranhão,"LINESTRING (-42.7306569 -10.818698, -42.7300392 -10.8190514)",,,
251106032,False,residential,False,107.079,Rua Custódio de Morais,"LINESTRING (-42.7306569 -10.818698, -42.7301412 -10.817879)",,,
88303014,False,residential,False,78.075,Rua Maranhão,"LINESTRING (-42.7300392 -10.8190514, -42.7306569 -10.818698)",,,
88303014,False,residential,True,61.715,Rua Maranhão,"LINESTRING (-42.7300392 -10.8190514, -42.729569 -10.8193592)",,,
251106036,False,residential,False,107.78,Rua da Vitória,"LINESTRING (-42.7300392 -10.8190514, -42.7305549 -10.8198778)",,,
251106036,False,residential,True,101.915,Rua da Vitória,"LINESTRING (-42.7300392 -10.8190514, -42.7295459 -10.8182734)",,,
88302929,False,tertiary,False,93.023,Rua Rui Barbosa,"LINESTRING (-42.7288469 -10.8198067, -42.7283545 -10.8191241)",,,
88302929,False,tertiary,True,100.355,Rua Rui Barbosa,"LINESTRING (-42.7288469 -10.8198067, -42.7293897 -10.8205349)",,,
88303014,False,residential,False,93.252,Rua Maranhão,"LINESTRING (-42.7288469 -10.8198067, -42.729569 -10.8193592)",,,
88303014,False,residential,True,26.108,Rua Maranhão,"LINESTRING (-42.7288469 -10.8198067, -42.7286563 -10.8199484)",,,
88303014,False,residential,False,26.108,Rua Maranhão,"LINESTRING (-42.7286563 -10.8199484, -42.7288469 -10.8198067)",,,
88303014,False,residential,True,47.553,Rua Maranhão,"LINESTRING (-42.7286563 -10.8199484, -42.7282813 -10.8201657)",,,
211093048,False,residential,False,94.33,Rua Dom Pedro I,"LINESTRING (-42.7286563 -10.8199484, -42.7281989 -10.8192288)",,,
211093048,False,residential,True,200.383,Rua Dom Pedro I,"LINESTRING (-42.7286563 -10.8199484, -42.7295825 -10.821504)",,,
88302940,False,residential,False,98.653,Rua Monsenhor Costa,"LINESTRING (-42.7300379 -10.8201175, -42.729569 -10.8193592)",,,
88302940,False,residential,True,98.063,Rua Monsenhor Costa,"LINESTRING (-42.7300379 -10.8201175, -42.7304992 -10.8208741)",,,
211093051,False,residential,False,62.44,Rua José Pegrino,"LINESTRING (-42.7300379 -10.8201175, -42.7305549 -10.8198778)",,,
211093051,False,residential,True,84.653,Rua José Pegrino,"LINESTRING (-42.7300379 -10.8201175, -42.7293897 -10.8205349)",,,
88303014,False,residential,False,47.553,Rua Maranhão,"LINESTRING (-42.7282813 -10.8201657, -42.7286563 -10.8199484)",,,
88303014,False,residential,True,66.966,Rua Maranhão,"LINESTRING (-42.7282813 -10.8201657, -42.7277713 -10.8205)",,,
251103499,False,residential,False,202.305,Rua Agrario Avelino,"LINESTRING (-42.7282813 -10.8201657, -42.7292734 -10.8217021)",,,
251103499,False,residential,True,90.545,Rua Agrario Avelino,"LINESTRING (-42.7282813 -10.8201657, -42.7278167 -10.8194913)",,,
88302953,False,residential,False,22.773,Rua Pedro Mariani,"LINESTRING (-42.7277713 -10.8205, -42.7278937 -10.8206658)",,,
88302953,False,residential,True,90.1,Rua Pedro Mariani,"LINESTRING (-42.7277713 -10.8205, -42.727306 -10.8198309)",,,
88303014,False,residential,False,66.966,Rua Maranhão,"LINESTRING (-42.7277713 -10.8205, -42.7282813 -10.8201657)",,,
88302929,False,tertiary,False,100.355,Rua Rui Barbosa,"LINESTRING (-42.7293897 -10.8205349, -42.7288469 -10.8198067)",,,
88302929,False,tertiary,True,101.964,Rua Rui Barbosa,"LINESTRING (-42.7293897 -10.8205349, -42.7299235 -10.8212872)",,,
211093051,False,residential,False,84.653,Rua José Pegrino,"LINESTRING (-42.7293897 -10.8205349, -42.7300379 -10.8201175)",,,
88302940,False,residential,False,98.063,Rua Monsenhor Costa,"LINESTRING (-42.7304992 -10.8208741, -42.7300379 -10.8201175)",,,
88302940,False,residential,True,50.396,Rua Monsenhor Costa,"LINESTRING (-42.7304992 -10.8208741, -42.7307425 -10.8212592)",,,
88302986,False,residential,False,77.868,Rua João Guimarães,"LINESTRING (-42.7304992 -10.8208741, -42.7299235 -10.8212872)",,,
