osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,junction,lanes
467330572,,Rua Pedro Batista Silveira,residential,False,True,244.04100000000003,"LINESTRING (-44.4859152 -20.3890329, -44.485736 -20.3892248, -44.4856984 -20.3892828, -44.485674 -20.3893372, -44.4856638 -20.3894126, -44.4856424 -20.3896865, -44.4855935 -20.3902208, -44.4855716 -20.3903062, -44.4855579 -20.3903363, -44.485533 -20.390353, -44.4854663 -20.3903826, -44.4853808 -20.3903935, -44.4850703 -20.3903993, -44.4847124 -20.3903988)",,,
467330572,,Rua Pedro Batista Silveira,residential,False,False,62.55,"LINESTRING (-44.4833552 -20.3897526, -44.4838702 -20.3900414)",,,
467330571,,Rua Cornélio Fonseca,residential,False,True,118.025,"LINESTRING (-44.4833552 -20.3897526, -44.4836249 -20.3893584, -44.4839167 -20.3888321)",,,
756399398,,Rua Bela Vista,residential,False,False,56.643,"LINESTRING (-44.4841706 -20.3896169, -44.4838702 -20.3900414)",,,
467330572,,Rua Pedro Batista Silveira,residential,False,True,62.55,"LINESTRING (-44.4838702 -20.3900414, -44.4833552 -20.3897526)",,,
756399398,,Rua Bela Vista,residential,False,True,56.643,"LINESTRING (-44.4838702 -20.3900414, -44.4841706 -20.3896169)",,,
467330572,,Rua Pedro Batista Silveira,residential,False,False,96.733,"LINESTRING (-44.4838702 -20.3900414, -44.4843832 -20.3902924, -44.4845477 -20.3903598, -44.4847124 -20.3903988)",,,
467330596,,Rua Capitão Ferreira Pinto,residential,False,True,44.431,"LINESTRING (-44.4834628 -20.3952555, -44.4836807 -20.3951416, -44.4838246 -20.3950453)",,,
477894969,,Rua Antônio Paulino,residential,False,False,44.803,"LINESTRING (-44.4854284 -20.394359, -44.4852819 -20.3939802)",,,
756397194,,Rua Carlos Teixeira,residential,False,True,40.772,"LINESTRING (-44.4854284 -20.394359, -44.485815 -20.394415)",,,
"[756397194, 467330596]",,"['Rua Carlos Teixeira', 'Rua Capitão Ferreira Pinto']",residential,False,False,169.128,"LINESTRING (-44.4854284 -20.394359, -44.4852739 -20.3943535, -44.4851316 -20.3943628, -44.4850377 -20.3943744, -44.4848316 -20.3944059, -44.4847399 -20.3944307, -44.4844093 -20.3945911, -44.4839885 -20.3949292)",,,
477896430,MG-040,Rua do Rosário,residential,False,True,47.701,"LINESTRING (-44.4860129 -20.3944288, -44.4859295 -20.3948506)",,,
503138721,,Rua Erotides Ferreira da Silveira,residential,False,False,20.683,"LINESTRING (-44.4860129 -20.3944288, -44.485815 -20.394415)",,,
503138721,,Rua Erotides Ferreira da Silveira,residential,False,True,253.03799999999998,"LINESTRING (-44.4860129 -20.3944288, -44.4872417 -20.3946025, -44.487376 -20.3946354, -44.4874626 -20.3946435, -44.4876448 -20.3946368, -44.4884125 -20.3945249)",,,
