osmid,oneway,name,highway,reversed,length,maxspeed,geometry
424243775,False,,residential,False,23.369,,"LINESTRING (-38.3620407 -11.7940902, -38.3621118 -11.7942885)"
402108881,False,,residential,True,51.357,,"LINESTRING (-38.3620407 -11.7940902, -38.3619136 -11.794212, -38.3618237 -11.7943209, -38.3617418 -11.794445)"
424243775,False,,residential,True,185.567,,"LINESTRING (-38.3620407 -11.7940902, -38.3617298 -11.7931762, -38.3615729 -11.7927101, -38.3614951 -11.7925093)"
381988091,False,,residential,True,67.998,,"LINESTRING (-38.3552107 -11.7877333, -38.3558035 -11.7879262)"
381988083,False,,residential,True,67.073,,"LINESTRING (-38.3597034 -11.7912398, -38.3597785 -11.7906411)"
423793526,False,,residential,False,122.42499999999998,,"LINESTRING (-38.3597034 -11.7912398, -38.3599234 -11.7913343, -38.3601849 -11.7914551, -38.3604021 -11.7915667, -38.3607079 -11.7917334)"
423793526,False,,residential,True,83.85900000000001,,"LINESTRING (-38.3597034 -11.7912398, -38.3595814 -11.7912253, -38.3594204 -11.7912253, -38.358934 -11.791236)"
381988083,False,,residential,False,7.839,,"LINESTRING (-38.3597906 -11.7905716, -38.3597785 -11.7906411)"
381988083,False,,residential,True,39.617,,"LINESTRING (-38.3597906 -11.7905716, -38.3598326 -11.7902177)"
424390716,False,,residential,False,144.65,,"LINESTRING (-38.3597906 -11.7905716, -38.360201 -11.7907921, -38.3607173 -11.7910494, -38.3609721 -11.7911663)"
402108881,False,,residential,False,51.357,,"LINESTRING (-38.3617418 -11.794445, -38.3618237 -11.7943209, -38.3619136 -11.794212, -38.3620407 -11.7940902)"
402108881,False,,residential,True,94.551,,"LINESTRING (-38.3617418 -11.794445, -38.3616038 -11.7946071, -38.3613691 -11.7948355, -38.3611384 -11.7950556)"
