osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry
361417776,False,2,Arturo Prat,residential,50,False,30.361,,"LINESTRING (-72.9514604 -39.6623206, -72.9518101 -39.662275)"
361417776,False,2,Arturo Prat,residential,50,True,55.458,,"LINESTRING (-72.9514604 -39.6623206, -72.9512949 -39.6628028)"
337183023,False,2,Juan Verdaguer,primary,50,False,25.432,T-34,"LINESTRING (-72.9512949 -39.6628028, -72.9515723 -39.6628847)"
361417776,False,2,Arturo Prat,residential,50,False,55.458,,"LINESTRING (-72.9512949 -39.6628028, -72.9514604 -39.6623206)"
"[1214608603, 337183023]",False,2,Juan Verdaguer,primary,50,True,90.543,T-34,"LINESTRING (-72.9512949 -39.6628028, -72.951137 -39.6627562, -72.9510217 -39.6627221, -72.9509563 -39.6627028, -72.9508634 -39.6626754, -72.9507735 -39.6626489, -72.9505869 -39.6625938, -72.9503073 -39.6625112)"
84198425,False,2,Arturo Prat,residential,50,False,10.851,,"LINESTRING (-72.9518101 -39.662275, -72.9518422 -39.6623694)"
84198425,False,2,Arturo Prat,residential,50,True,76.703,,"LINESTRING (-72.9518101 -39.662275, -72.9515831 -39.6616077)"
361417776,False,2,Arturo Prat,residential,50,False,20.085,,"LINESTRING (-72.9518101 -39.662275, -72.9520443 -39.662264)"
361417776,False,2,Arturo Prat,residential,50,True,30.361,,"LINESTRING (-72.9518101 -39.662275, -72.9514604 -39.6623206)"
84198379,False,2,El Maitén,residential,50,True,29.848,,"LINESTRING (-72.9518162 -39.6684982, -72.9521647 -39.6685079)"
84198379,False,2,El Maitén,residential,50,False,68.122,,"LINESTRING (-72.9518162 -39.6684982, -72.951136 -39.6684602, -72.9510224 -39.6684539)"
460084854,False,1,General C. Urzúa,living_street,30,False,47.073,,"LINESTRING (-72.9518162 -39.6684982, -72.9518167 -39.6684477, -72.9518233 -39.6680749)"
460084854,False,1,General C. Urzúa,living_street,30,True,47.073,,"LINESTRING (-72.9518233 -39.6680749, -72.9518167 -39.6684477, -72.9518162 -39.6684982)"
1110032635,False,2,Presidente Kennedy,residential,50,True,30.898,,"LINESTRING (-72.9480293 -39.6618232, -72.9481866 -39.6616153, -72.948211 -39.6615831)"
784281845,False,2,Río Máfil,residential,50,False,87.517,,"LINESTRING (-72.9548652 -39.6645363, -72.9554526 -39.6638921)"
337183290,False,2,Ruta T-34,primary,50,False,70.445,T-34,"LINESTRING (-72.9568989 -39.6623179, -72.9571277 -39.6624024, -72.9576409 -39.6625919)"
337183290,False,2,Ruta T-34,primary,50,True,96.339,T-34,"LINESTRING (-72.9568989 -39.6623179, -72.9566696 -39.6622347, -72.9561472 -39.6620451, -72.9560105 -39.662003, -72.9558697 -39.66197)"
784281845,False,2,Río Máfil,residential,50,True,31.892000000000003,,"LINESTRING (-72.9568989 -39.6623179, -72.9568201 -39.6624116, -72.9568033 -39.6624315, -72.9566926 -39.6625567)"
784281846,False,2,Río Pichoy,residential,50,False,32.302,,"LINESTRING (-72.9544862 -39.6637272, -72.9547009 -39.6634883)"
784281845,False,2,Río Máfil,residential,50,True,35.787,,"LINESTRING (-72.9566926 -39.6625567, -72.9564611 -39.6628247)"
784281845,False,2,Río Máfil,residential,50,False,31.892000000000003,,"LINESTRING (-72.9566926 -39.6625567, -72.9568033 -39.6624315, -72.9568201 -39.6624116, -72.9568989 -39.6623179)"
"[1094004083, 784281846]",False,2,"['Río Pichoy', 'Río Calle Calle']",residential,50,"[False, True]",116.19800000000001,,"LINESTRING (-72.9566926 -39.6625567, -72.955904 -39.6621492, -72.9556721 -39.6624073)"
784281845,False,2,Río Máfil,residential,50,False,35.787,,"LINESTRING (-72.9564611 -39.6628247, -72.9566926 -39.6625567)"
784281845,False,2,Río Máfil,residential,50,True,35.718,,"LINESTRING (-72.9564611 -39.6628247, -72.9562299 -39.6630921)"
784281847,False,1,Curalelfu,living_street,30,False,81.949,,"LINESTRING (-72.9564611 -39.6628247, -72.9556721 -39.6624073)"
784281846,False,2,Río Pichoy,residential,50,True,34.718,,"LINESTRING (-72.9556721 -39.6624073, -72.9554414 -39.6626641)"
